YEARS,COUNT,PERCENTAGE
23.3,8,3.0E-4%
23.4,8,3.0E-4%
23.5,9,4.0E-4%
23.6,8,3.0E-4%
23.7,5,2.0E-4%
23.8,10,4.0E-4%
23.9,14,6.0E-4%
24.0,29,0.0012%
24.1,3,1.0E-4%
24.2,7,3.0E-4%
24.3,9,4.0E-4%
24.4,8,3.0E-4%
24.5,6,2.0E-4%
24.6,8,3.0E-4%
24.7,11,4.0E-4%
24.8,5,2.0E-4%
24.9,8,3.0E-4%
25.0,37,0.0015%
25.1,7,3.0E-4%
25.2,9,4.0E-4%
25.3,8,3.0E-4%
25.4,8,3.0E-4%
25.5,11,4.0E-4%
25.6,10,4.0E-4%
25.7,12,5.0E-4%
25.8,12,5.0E-4%
25.9,8,3.0E-4%
26.0,36,0.0014%
26.1,7,3.0E-4%
26.2,13,5.0E-4%
26.3,11,4.0E-4%
26.4,6,2.0E-4%
26.5,8,3.0E-4%
26.6,5,2.0E-4%
26.7,4,2.0E-4%
26.8,13,5.0E-4%
26.9,10,4.0E-4%
27.0,31,0.0012%
27.1,13,5.0E-4%
27.2,12,5.0E-4%
27.3,8,3.0E-4%
27.4,7,3.0E-4%
27.5,14,6.0E-4%
27.6,7,3.0E-4%
27.7,15,6.0E-4%
27.8,6,2.0E-4%
27.9,6,2.0E-4%
28.0,19,8.0E-4%
28.1,11,4.0E-4%
28.2,7,3.0E-4%
28.3,12,5.0E-4%
28.4,12,5.0E-4%
28.5,10,4.0E-4%
28.6,18,7.0E-4%
28.7,11,4.0E-4%
28.8,5,2.0E-4%
28.9,3,1.0E-4%
29.0,37,0.0015%
29.1,11,4.0E-4%
29.2,10,4.0E-4%
29.3,8,3.0E-4%
29.4,10,4.0E-4%
29.5,8,3.0E-4%
29.6,14,6.0E-4%
29.7,12,5.0E-4%
29.8,12,5.0E-4%
29.9,11,4.0E-4%
30.0,50,0.002%
30.1,9,4.0E-4%
30.2,9,4.0E-4%
30.3,8,3.0E-4%
30.4,9,4.0E-4%
30.5,10,4.0E-4%
30.6,9,4.0E-4%
30.7,10,4.0E-4%
30.8,12,5.0E-4%
30.9,18,7.0E-4%
31.0,27,0.0011%
31.1,7,3.0E-4%
31.2,14,6.0E-4%
31.3,13,5.0E-4%
31.4,9,4.0E-4%
31.5,8,3.0E-4%
31.6,15,6.0E-4%
31.7,13,5.0E-4%
31.8,9,4.0E-4%
31.9,9,4.0E-4%
32.0,32,0.0013%
32.1,14,6.0E-4%
32.2,7,3.0E-4%
32.3,8,3.0E-4%
32.4,14,6.0E-4%
32.5,16,6.0E-4%
32.6,12,5.0E-4%
32.7,11,4.0E-4%
32.8,6,2.0E-4%
32.9,13,5.0E-4%
33.0,45,0.0018%
33.1,10,4.0E-4%
33.2,6,2.0E-4%
33.3,11,4.0E-4%
33.4,20,8.0E-4%
33.5,10,4.0E-4%
33.6,12,5.0E-4%
33.7,17,7.0E-4%
33.8,9,4.0E-4%
33.9,12,5.0E-4%
34.0,36,0.0014%
34.1,6,2.0E-4%
34.2,12,5.0E-4%
34.3,10,4.0E-4%
34.4,12,5.0E-4%
34.5,8,3.0E-4%
34.6,10,4.0E-4%
34.7,17,7.0E-4%
34.8,11,4.0E-4%
34.9,8,3.0E-4%
35.0,42,0.0017%
35.1,8,3.0E-4%
35.2,15,6.0E-4%
35.3,13,5.0E-4%
35.4,18,7.0E-4%
35.5,17,7.0E-4%
35.6,12,5.0E-4%
35.7,3,1.0E-4%
35.8,8,3.0E-4%
35.9,12,5.0E-4%
36.0,35,0.0014%
36.1,5,2.0E-4%
36.2,9,4.0E-4%
36.3,14,6.0E-4%
36.4,10,4.0E-4%
36.5,13,5.0E-4%
36.6,11,4.0E-4%
36.7,15,6.0E-4%
36.8,17,7.0E-4%
36.9,8,3.0E-4%
37.0,44,0.0018%
37.1,11,4.0E-4%
37.2,14,6.0E-4%
37.3,14,6.0E-4%
37.4,14,6.0E-4%
37.5,10,4.0E-4%
37.6,13,5.0E-4%
37.7,10,4.0E-4%
37.8,8,3.0E-4%
37.9,17,7.0E-4%
38.0,32,0.0013%
38.1,15,6.0E-4%
38.2,9,4.0E-4%
38.3,13,5.0E-4%
38.4,7,3.0E-4%
38.5,12,5.0E-4%
38.6,8,3.0E-4%
38.7,13,5.0E-4%
38.8,11,4.0E-4%
38.9,9,4.0E-4%
39.0,40,0.0016%
39.1,13,5.0E-4%
39.2,9,4.0E-4%
39.3,8,3.0E-4%
39.4,13,5.0E-4%
39.5,12,5.0E-4%
39.6,8,3.0E-4%
39.7,14,6.0E-4%
39.8,9,4.0E-4%
39.9,9,4.0E-4%
40.0,55,0.0022%
40.1,10,4.0E-4%
40.2,17,7.0E-4%
40.3,9,4.0E-4%
40.4,6,2.0E-4%
40.5,16,6.0E-4%
40.6,13,5.0E-4%
40.7,17,7.0E-4%
40.8,14,6.0E-4%
40.9,18,7.0E-4%
41.0,48,0.0019%
41.1,11,4.0E-4%
41.2,11,4.0E-4%
41.3,15,6.0E-4%
41.4,9,4.0E-4%
41.5,13,5.0E-4%
41.6,12,5.0E-4%
41.7,13,5.0E-4%
41.8,13,5.0E-4%
41.9,12,5.0E-4%
42.0,47,0.0019%
42.1,13,5.0E-4%
42.2,11,4.0E-4%
42.3,12,5.0E-4%
42.4,11,4.0E-4%
42.5,9,4.0E-4%
42.6,8,3.0E-4%
42.7,12,5.0E-4%
42.8,15,6.0E-4%
42.9,14,6.0E-4%
43.0,36,0.0014%
43.1,16,6.0E-4%
43.2,12,5.0E-4%
43.3,12,5.0E-4%
43.4,8,3.0E-4%
43.5,13,5.0E-4%
43.6,12,5.0E-4%
43.7,12,5.0E-4%
43.8,13,5.0E-4%
43.9,22,9.0E-4%
44.0,48,0.0019%
44.1,15,6.0E-4%
44.2,13,5.0E-4%
44.3,12,5.0E-4%
44.4,18,7.0E-4%
44.5,18,7.0E-4%
44.6,15,6.0E-4%
44.7,16,6.0E-4%
44.8,18,7.0E-4%
44.9,16,6.0E-4%
45.0,48,0.0019%
45.1,13,5.0E-4%
45.2,13,5.0E-4%
45.3,15,6.0E-4%
45.4,13,5.0E-4%
45.5,12,5.0E-4%
45.6,12,5.0E-4%
45.7,22,9.0E-4%
45.8,17,7.0E-4%
45.9,19,8.0E-4%
46.0,59,0.0024%
46.1,11,4.0E-4%
46.2,11,4.0E-4%
46.3,14,6.0E-4%
46.4,15,6.0E-4%
46.5,15,6.0E-4%
46.6,14,6.0E-4%
46.7,14,6.0E-4%
46.8,23,9.0E-4%
46.9,13,5.0E-4%
47.0,42,0.0017%
47.1,16,6.0E-4%
47.2,17,7.0E-4%
47.3,9,4.0E-4%
47.4,19,8.0E-4%
47.5,18,7.0E-4%
47.6,13,5.0E-4%
47.7,15,6.0E-4%
47.8,14,6.0E-4%
47.9,16,6.0E-4%
48.0,57,0.0023%
48.1,14,6.0E-4%
48.2,20,8.0E-4%
48.3,13,5.0E-4%
48.4,13,5.0E-4%
48.5,16,6.0E-4%
48.6,8,3.0E-4%
48.7,12,5.0E-4%
48.8,11,4.0E-4%
48.9,12,5.0E-4%
49.0,50,0.002%
49.1,13,5.0E-4%
