YEARS,COUNT,PERCENTAGE
109.8,6,2.0E-4%
109.9,2,1.0E-4%
110.0,2,1.0E-4%
110.1,43,0.0017%
110.2,7,3.0E-4%
110.3,4,2.0E-4%
110.4,2,1.0E-4%
110.5,3,1.0E-4%
110.6,1,0.0%
110.8,1,0.0%
111.1,6,2.0E-4%
111.6,1,0.0%
112.1,1,0.0%
112.5,1,0.0%
112.6,1,0.0%
113.1,1,0.0%
113.5,1,0.0%
114.1,2,1.0E-4%
114.7,1,0.0%
115.1,4,2.0E-4%
116.2,1,0.0%
117.1,3,1.0E-4%
118.0,1,0.0%
118.6,1,0.0%
119.0,1,0.0%
119.1,1,0.0%
120.1,2,1.0E-4%
121.1,1,0.0%
121.8,1,0.0%
123.1,2,1.0E-4%
123.6,1,0.0%
124.1,1,0.0%
125.1,2,1.0E-4%
125.2,2,1.0E-4%
125.8,1,0.0%
127.1,1,0.0%
130.1,1,0.0%
131.1,1,0.0%
133.1,1,0.0%
135.6,1,0.0%
137.1,1,0.0%
138.1,1,0.0%
139.9,1,0.0%
140.1,1,0.0%
146.7,1,0.0%
147.0,1,0.0%
149.1,1,0.0%
150.1,2,1.0E-4%
155.0,1,0.0%
155.1,1,0.0%
157.4,1,0.0%
174.1,1,0.0%
175.1,1,0.0%
180.0,1,0.0%
180.1,1,0.0%
197.8,1,0.0%
325.2,1,0.0%
379.1,1,0.0%
1067.2,1,0.0%
1078.4,1,0.0%
1765.6,1,0.0%
1816.7,1,0.0%
1976.5,1,0.0%
1997.3,1,0.0%
