YEARS,COUNT,PERCENTAGE
23.4,4,2.0E-4%
23.5,7,3.0E-4%
23.6,5,2.0E-4%
23.7,8,3.0E-4%
23.8,12,5.0E-4%
23.9,4,2.0E-4%
24.0,32,0.0013%
24.1,6,2.0E-4%
24.2,14,6.0E-4%
24.3,10,4.0E-4%
24.4,6,2.0E-4%
24.5,5,2.0E-4%
24.6,8,3.0E-4%
24.7,9,4.0E-4%
24.8,9,4.0E-4%
24.9,9,4.0E-4%
25.0,43,0.0017%
25.1,11,4.0E-4%
25.2,20,8.0E-4%
25.3,9,4.0E-4%
25.4,11,4.0E-4%
25.5,5,2.0E-4%
25.6,8,3.0E-4%
25.7,12,5.0E-4%
25.8,8,3.0E-4%
25.9,7,3.0E-4%
26.0,36,0.0014%
26.1,12,5.0E-4%
26.2,7,3.0E-4%
26.3,6,2.0E-4%
26.4,13,5.0E-4%
26.5,4,2.0E-4%
26.6,4,2.0E-4%
26.7,10,4.0E-4%
26.8,7,3.0E-4%
26.9,6,2.0E-4%
27.0,46,0.0018%
27.1,4,2.0E-4%
27.2,6,2.0E-4%
27.3,11,4.0E-4%
27.4,12,5.0E-4%
27.5,12,5.0E-4%
27.6,9,4.0E-4%
27.7,6,2.0E-4%
27.8,13,5.0E-4%
27.9,8,3.0E-4%
28.0,43,0.0017%
28.1,6,2.0E-4%
28.2,8,3.0E-4%
28.3,15,6.0E-4%
28.4,8,3.0E-4%
28.5,11,4.0E-4%
28.6,8,3.0E-4%
28.7,10,4.0E-4%
28.8,7,3.0E-4%
28.9,6,2.0E-4%
29.0,32,0.0013%
29.1,12,5.0E-4%
29.2,13,5.0E-4%
29.3,7,3.0E-4%
29.4,9,4.0E-4%
29.5,11,4.0E-4%
29.6,9,4.0E-4%
29.7,10,4.0E-4%
29.8,11,4.0E-4%
29.9,17,7.0E-4%
30.0,37,0.0015%
30.1,7,3.0E-4%
30.2,20,8.0E-4%
30.3,12,5.0E-4%
30.4,9,4.0E-4%
30.5,11,4.0E-4%
30.6,13,5.0E-4%
30.7,13,5.0E-4%
30.8,10,4.0E-4%
30.9,14,6.0E-4%
31.0,36,0.0014%
31.1,9,4.0E-4%
31.2,6,2.0E-4%
31.3,10,4.0E-4%
31.4,14,6.0E-4%
31.5,9,4.0E-4%
31.6,14,6.0E-4%
31.7,14,6.0E-4%
31.8,12,5.0E-4%
31.9,11,4.0E-4%
32.0,42,0.0017%
32.1,10,4.0E-4%
32.2,12,5.0E-4%
32.3,16,6.0E-4%
32.4,15,6.0E-4%
32.5,11,4.0E-4%
32.6,13,5.0E-4%
32.7,18,7.0E-4%
32.8,12,5.0E-4%
32.9,9,4.0E-4%
33.0,39,0.0016%
33.1,12,5.0E-4%
33.2,6,2.0E-4%
33.3,12,5.0E-4%
33.4,11,4.0E-4%
33.5,16,6.0E-4%
33.6,9,4.0E-4%
33.7,7,3.0E-4%
33.8,8,3.0E-4%
33.9,14,6.0E-4%
34.0,27,0.0011%
34.1,11,4.0E-4%
34.2,18,7.0E-4%
34.3,11,4.0E-4%
34.4,11,4.0E-4%
34.5,9,4.0E-4%
34.6,8,3.0E-4%
34.7,6,2.0E-4%
34.8,10,4.0E-4%
34.9,8,3.0E-4%
35.0,50,0.002%
35.1,12,5.0E-4%
35.2,15,6.0E-4%
35.3,10,4.0E-4%
35.4,6,2.0E-4%
35.5,10,4.0E-4%
35.6,18,7.0E-4%
35.7,17,7.0E-4%
35.8,12,5.0E-4%
35.9,15,6.0E-4%
36.0,33,0.0013%
36.1,11,4.0E-4%
36.2,13,5.0E-4%
36.3,9,4.0E-4%
36.4,10,4.0E-4%
36.5,9,4.0E-4%
36.6,13,5.0E-4%
36.7,12,5.0E-4%
36.8,9,4.0E-4%
36.9,8,3.0E-4%
37.0,48,0.0019%
37.1,13,5.0E-4%
37.2,12,5.0E-4%
