YEARS,COUNT,PERCENTAGE
108.9,1,0.0%
109.0,1,0.0%
109.1,5,2.0E-4%
109.5,1,0.0%
109.6,6,2.0E-4%
109.7,6,2.0E-4%
109.8,2,1.0E-4%
109.9,6,2.0E-4%
110.0,2,1.0E-4%
110.1,44,0.0018%
110.2,5,2.0E-4%
110.3,2,1.0E-4%
110.4,8,3.0E-4%
110.5,10,4.0E-4%
111.1,4,2.0E-4%
111.6,1,0.0%
111.8,1,0.0%
112.1,2,1.0E-4%
112.2,1,0.0%
113.0,1,0.0%
115.0,1,0.0%
115.1,3,1.0E-4%
115.4,1,0.0%
115.7,1,0.0%
116.1,1,0.0%
117.1,1,0.0%
118.5,1,0.0%
119.4,1,0.0%
119.7,2,1.0E-4%
120.1,2,1.0E-4%
120.6,1,0.0%
121.3,1,0.0%
122.1,1,0.0%
122.9,1,0.0%
123.1,2,1.0E-4%
125.2,1,0.0%
129.3,1,0.0%
129.8,1,0.0%
130.1,1,0.0%
137.1,1,0.0%
141.1,1,0.0%
142.1,1,0.0%
143.4,1,0.0%
146.0,1,0.0%
154.8,1,0.0%
156.5,1,0.0%
158.1,1,0.0%
158.3,1,0.0%
165.1,1,0.0%
167.1,1,0.0%
167.3,1,0.0%
175.1,1,0.0%
180.7,1,0.0%
183.0,1,0.0%
192.1,1,0.0%
224.6,1,0.0%
231.7,1,0.0%
232.2,1,0.0%
272.4,1,0.0%
281.2,1,0.0%
333.2,1,0.0%
494.3,1,0.0%
1598.1,1,0.0%
1705.5,1,0.0%
1708.2,1,0.0%
1787.1,1,0.0%
1911.4,1,0.0%
1914.5,1,0.0%
1998.4,1,0.0%
